filename,width,height,class,xmin,ymin,xmax,ymax
airplane001.jpg,256,256,Airplane,82,18,196,186
airplane002.jpg,256,256,Airplane,51,47,200,196
airplane003.jpg,256,256,Airplane,23,45,230,217
airplane004.jpg,256,256,Airplane,19,55,210,209
airplane005.jpg,256,256,Airplane,47,83,177,253
airplane006.jpg,256,256,Airplane,39,54,241,203
airplane007.jpg,256,256,Airplane,47,9,250,180
airplane008.jpg,256,256,Airplane,59,43,241,202
airplane009.jpg,256,256,Airplane,41,29,196,209
airplane010.jpg,256,256,Airplane,81,34,239,213
airplane011.jpg,256,256,Airplane,46,23,209,182
airplane012.jpg,256,256,Airplane,49,72,228,233
airplane013.jpg,256,256,Airplane,86,39,208,182
airplane014.jpg,256,256,Airplane,44,35,179,171
airplane015.jpg,256,256,Airplane,6,65,229,228
airplane016.jpg,256,256,Airplane,15,82,167,238
airplane017.jpg,256,256,Airplane,40,5,210,188
airplane018.jpg,256,256,Airplane,14,52,193,201
airplane019.jpg,256,256,Airplane,6,49,197,215
airplane020.jpg,256,256,Airplane,13,60,203,224
airplane021.jpg,256,256,Airplane,58,35,217,193
airplane022.jpg,256,256,Airplane,8,68,214,230
airplane023.jpg,256,256,Airplane,45,59,231,218
airplane024.jpg,256,256,Airplane,4,56,169,218
airplane025.jpg,256,256,Airplane,45,47,228,216
airplane026.jpg,256,256,Airplane,40,58,202,232
airplane027.jpg,256,256,Airplane,50,40,245,209
airplane028.jpg,256,256,Airplane,31,109,163,249
airplane029.jpg,256,256,Airplane,47,100,176,251
airplane030.jpg,256,256,Airplane,34,33,227,205
airplane031.jpg,256,256,Airplane,56,52,209,188
airplane032.jpg,256,256,Airplane,25,2,167,109
airplane032.jpg,256,256,Airplane,2,133,153,254
airplane033.jpg,256,256,Airplane,9,24,133,147
airplane034.jpg,256,256,Airplane,14,35,216,205
airplane035.jpg,256,256,Airplane,32,39,229,209
airplane036.jpg,256,256,Airplane,36,41,246,210
airplane037.jpg,256,256,Airplane,63,38,250,226
airplane038.jpg,256,256,Airplane,31,52,185,210
airplane039.jpg,256,256,Airplane,48,43,253,227
airplane040.jpg,256,256,Airplane,31,28,221,205
airplane041.jpg,256,256,Airplane,74,42,240,193
airplane042.jpg,256,256,Airplane,31,5,224,240
airplane043.jpg,256,256,Airplane,24,35,119,145
airplane043.jpg,256,256,Airplane,143,85,247,213
airplane044.jpg,256,256,Airplane,1,9,244,220
airplane045.jpg,256,256,Airplane,84,13,208,111
airplane045.jpg,256,256,Airplane,5,118,125,247
airplane046.jpg,256,256,Airplane,82,14,201,139
airplane046.jpg,256,256,Airplane,23,149,144,247
airplane047.jpg,256,256,Airplane,43,39,177,188
airplane048.jpg,256,256,Airplane,54,119,165,221
airplane048.jpg,256,256,Airplane,86,10,209,116
airplane049.jpg,256,256,Airplane,59,106,158,207
airplane049.jpg,256,256,Airplane,104,15,205,102
airplane050.jpg,256,256,Airplane,75,187,138,253
airplane050.jpg,256,256,Airplane,85,49,172,148
airplane051.jpg,256,256,Airplane,67,71,157,166
airplane052.jpg,256,256,Airplane,72,135,147,214
airplane053.jpg,256,256,Airplane,38,82,192,207
airplane054.jpg,256,256,Airplane,61,100,195,208
airplane055.jpg,256,256,Airplane,38,69,189,208
airplane056.jpg,256,256,Airplane,2,72,157,212
airplane057.jpg,256,256,Airplane,101,64,256,204
airplane058.jpg,256,256,Airplane,60,54,179,206
airplane059.jpg,256,256,Airplane,109,76,206,219
airplane060.jpg,256,256,Airplane,10,23,235,204
airplane061.jpg,256,256,Airplane,8,43,231,225
airplane062.jpg,256,256,Airplane,12,43,240,235
airplane063.jpg,256,256,Airplane,41,63,172,189
airplane064.jpg,256,256,Airplane,40,21,225,226
airplane065.jpg,256,256,Airplane,11,36,129,192
airplane065.jpg,256,256,Airplane,138,71,241,230
airplane066.jpg,256,256,Airplane,13,21,123,165
airplane066.jpg,256,256,Airplane,138,62,251,218
airplane067.jpg,256,256,Airplane,6,11,110,164
airplane067.jpg,256,256,Airplane,135,45,240,207
airplane068.jpg,256,256,Airplane,16,71,127,230
airplane069.jpg,256,256,Airplane,68,73,203,195
airplane070.jpg,256,256,Airplane,19,23,216,200
airplane071.jpg,256,256,Airplane,47,31,212,211
airplane072.jpg,256,256,Airplane,70,27,253,195
airplane073.jpg,256,256,Airplane,61,51,237,214
airplane074.jpg,256,256,Airplane,65,2,212,131
airplane074.jpg,256,256,Airplane,41,154,192,253
airplane075.jpg,256,256,Airplane,62,15,214,123
airplane075.jpg,256,256,Airplane,75,136,234,256
airplane076.jpg,256,256,Airplane,50,44,166,185
airplane077.jpg,256,256,Airplane,3,74,99,220
airplane077.jpg,256,256,Airplane,60,4,180,125
airplane078.jpg,256,256,Airplane,19,16,163,119
airplane078.jpg,256,256,Airplane,30,143,176,253
airplane079.jpg,256,256,Airplane,70,23,182,190
airplane080.jpg,256,256,Airplane,65,31,201,190
airplane081.jpg,256,256,Airplane,42,15,214,169
airplane082.jpg,256,256,Airplane,2,77,155,214
airplane083.jpg,256,256,Airplane,30,61,150,180
airplane084.jpg,256,256,Airplane,22,7,246,210
airplane085.jpg,256,256,Airplane,12,14,209,243
airplane086.jpg,256,256,Airplane,50,53,226,223
airplane087.jpg,256,256,Airplane,19,12,249,246
airplane088.jpg,256,256,Airplane,50,88,200,248
airplane089.jpg,256,256,Airplane,6,3,112,110
airplane089.jpg,256,256,Airplane,141,6,253,144
airplane090.jpg,256,256,Airplane,40,11,212,188
airplane091.jpg,256,256,Airplane,45,70,212,250
airplane092.jpg,256,256,Airplane,115,18,236,123
airplane092.jpg,256,256,Airplane,40,157,162,255
airplane093.jpg,256,256,Airplane,16,131,158,245
airplane093.jpg,256,256,Airplane,118,11,239,117
airplane094.jpg,256,256,Airplane,12,37,180,190
airplane095.jpg,256,256,Airplane,8,67,191,250
airplane096.jpg,256,256,Airplane,1,102,134,248
airplane096.jpg,256,256,Airplane,77,1,251,114
airplane097.jpg,256,256,Airplane,13,38,172,227
airplane098.jpg,256,256,Airplane,6,112,117,256
airplane098.jpg,256,256,Airplane,128,1,230,126
airplane099.jpg,256,256,Airplane,58,45,208,163
airplane100.jpg,256,256,Airplane,1,100,129,245
airplane100.jpg,256,256,Airplane,116,13,239,155
airplane101.jpg,256,256,Airplane,41,22,177,159
airplane102.jpg,256,256,Airplane,28,68,177,240
airplane103.jpg,256,256,Airplane,48,22,209,203
airplane104.jpg,256,256,Airplane,44,49,192,190
airplane105.jpg,256,256,Airplane,14,108,145,204
airplane106.jpg,256,256,Airplane,38,59,194,213
airplane107.jpg,256,256,Airplane,23,52,187,186
airplane108.jpg,256,256,Airplane,28,33,187,185
airplane109.jpg,256,256,Airplane,13,27,229,201
airplane110.jpg,256,256,Airplane,44,60,226,214
airplane111.jpg,256,256,Airplane,66,55,214,183
airplane112.jpg,256,256,Airplane,44,104,203,246
airplane113.jpg,256,256,Airplane,50,40,192,200
airplane114.jpg,256,256,Airplane,24,43,208,216
airplane115.jpg,256,256,Airplane,51,33,240,208
airplane116.jpg,256,256,Airplane,17,50,241,219
airplane117.jpg,256,256,Airplane,77,47,208,213
airplane118.jpg,256,256,Airplane,81,39,238,207
airplane119.jpg,256,256,Airplane,35,47,221,207
airplane120.jpg,256,256,Airplane,40,41,228,215
airplane121.jpg,256,256,Airplane,69,48,232,226
airplane122.jpg,256,256,Airplane,99,37,229,160
airplane123.jpg,256,256,Airplane,73,39,194,218
airplane124.jpg,256,256,Airplane,53,31,207,209
airplane125.jpg,256,256,Airplane,44,31,205,215
airplane126.jpg,256,256,Airplane,21,48,216,219
airplane127.jpg,256,256,Airplane,60,27,234,198
airplane128.jpg,256,256,Airplane,99,31,235,214
airplane129.jpg,256,256,Airplane,68,22,203,217
airplane130.jpg,256,256,Airplane,37,12,201,234
airplane131.jpg,256,256,Airplane,56,43,172,222
airplane132.jpg,256,256,Airplane,90,41,188,184
airplane133.jpg,256,256,Airplane,43,65,172,217
airplane134.jpg,256,256,Airplane,54,142,154,216
airplane134.jpg,256,256,Airplane,104,10,201,120
airplane135.jpg,256,256,Airplane,62,153,171,255
airplane135.jpg,256,256,Airplane,52,1,199,138
airplane136.jpg,256,256,Airplane,57,48,124,140
airplane136.jpg,256,256,Airplane,63,168,155,256
airplane136.jpg,256,256,Airplane,177,2,241,58
airplane137.jpg,256,256,Airplane,26,35,146,195
airplane138.jpg,256,256,Airplane,16,1,193,128
airplane138.jpg,256,256,Airplane,30,135,180,248
airplane139.jpg,256,256,Airplane,48,132,238,253
airplane139.jpg,256,256,Airplane,24,1,222,116
airplane140.jpg,256,256,Airplane,79,138,244,252
airplane140.jpg,256,256,Airplane,43,3,243,124
airplane141.jpg,256,256,Airplane,45,1,221,122
airplane141.jpg,256,256,Airplane,20,139,187,256
airplane142.jpg,256,256,Airplane,47,49,240,222
airplane143.jpg,256,256,Airplane,46,36,247,216
airplane144.jpg,256,256,Airplane,17,40,238,219
airplane145.jpg,256,256,Airplane,57,23,226,214
airplane146.jpg,256,256,Airplane,26,40,193,228
airplane147.jpg,256,256,Airplane,15,75,183,184
airplane148.jpg,256,256,Airplane,16,81,214,225
airplane149.jpg,256,256,Airplane,42,33,204,215
airplane150.jpg,256,256,Airplane,25,54,229,232
airplane151.jpg,256,256,Airplane,63,87,205,247
airplane152.jpg,256,256,Airplane,47,96,201,237
airplane153.jpg,256,256,Airplane,29,9,209,215
airplane154.jpg,256,256,Airplane,2,33,168,197
airplane155.jpg,256,256,Airplane,59,25,219,208
airplane156.jpg,256,256,Airplane,1,59,194,204
airplane157.jpg,256,256,Airplane,2,60,217,231
airplane158.jpg,256,256,Airplane,52,39,210,206
airplane159.jpg,256,256,Airplane,28,45,230,220
airplane160.jpg,256,256,Airplane,80,76,226,231
airplane161.jpg,256,256,Airplane,5,123,171,235
airplane162.jpg,256,256,Airplane,1,10,153,121
airplane162.jpg,256,256,Airplane,38,123,191,242
airplane163.jpg,256,256,Airplane,10,9,183,126
airplane163.jpg,256,256,Airplane,74,130,250,249
airplane164.jpg,256,256,Airplane,13,11,174,131
airplane164.jpg,256,256,Airplane,85,126,255,250
airplane165.jpg,256,256,Airplane,10,5,152,167
airplane165.jpg,256,256,Airplane,130,96,254,250
airplane166.jpg,256,256,Airplane,99,9,244,182
airplane167.jpg,256,256,Airplane,64,26,222,220
airplane168.jpg,256,256,Airplane,34,25,210,237
airplane169.jpg,256,256,Airplane,16,3,213,232
airplane170.jpg,256,256,Airplane,68,21,224,192
airplane171.jpg,256,256,Airplane,58,76,209,240
airplane172.jpg,256,256,Airplane,1,19,143,139
airplane173.jpg,256,256,Airplane,3,62,170,215
airplane174.jpg,256,256,Airplane,48,16,219,223
airplane175.jpg,256,256,Airplane,13,23,254,237
airplane176.jpg,256,256,Airplane,19,42,230,222
airplane177.jpg,256,256,Airplane,63,32,251,245
airplane178.jpg,256,256,Airplane,24,34,239,220
airplane179.jpg,256,256,Airplane,47,8,236,227
airplane180.jpg,256,256,Airplane,64,38,233,192
airplane181.jpg,256,256,Airplane,58,25,243,238
airplane182.jpg,256,256,Airplane,35,35,204,220
airplane183.jpg,256,256,Airplane,10,24,192,237
airplane184.jpg,256,256,Airplane,17,36,201,252
airplane185.jpg,256,256,Airplane,33,20,213,230
airplane186.jpg,256,256,Airplane,19,86,184,211
airplane187.jpg,256,256,Airplane,5,6,205,237
airplane188.jpg,256,256,Airplane,58,24,223,205
airplane189.jpg,256,256,Airplane,71,47,216,214
airplane190.jpg,256,256,Airplane,32,4,241,235
airplane191.jpg,256,256,Airplane,10,1,145,154
airplane191.jpg,256,256,Airplane,122,87,252,246
airplane192.jpg,256,256,Airplane,12,6,155,160
airplane192.jpg,256,256,Airplane,118,90,254,253
airplane193.jpg,256,256,Airplane,86,105,232,223
airplane193.jpg,256,256,Airplane,11,2,141,142
airplane194.jpg,256,256,Airplane,18,1,152,134
airplane194.jpg,256,256,Airplane,103,121,226,256
airplane195.jpg,256,256,Airplane,13,18,247,250
airplane196.jpg,256,256,Airplane,35,16,170,187
airplane197.jpg,256,256,Airplane,11,31,166,208
airplane198.jpg,256,256,Airplane,19,36,197,173
airplane199.jpg,256,256,Airplane,56,35,195,200
airplane200.jpg,256,256,Airplane,25,33,236,201
airplane201.jpg,256,256,Airplane,6,44,63,94
airplane201.jpg,256,256,Airplane,67,36,120,85
airplane201.jpg,256,256,Airplane,121,35,177,83
airplane201.jpg,256,256,Airplane,179,29,235,74
airplane201.jpg,256,256,Airplane,94,90,154,133
airplane201.jpg,256,256,Airplane,174,101,232,158
airplane202.jpg,256,256,Airplane,5,191,66,239
airplane202.jpg,256,256,Airplane,43,93,122,163
airplane202.jpg,256,256,Airplane,34,22,129,93
airplane203.jpg,256,256,Airplane,2,25,117,160
airplane203.jpg,256,256,Airplane,193,80,246,152
airplane203.jpg,256,256,Airplane,176,150,249,236
airplane204.jpg,256,256,Airplane,51,115,138,201
airplane204.jpg,256,256,Airplane,146,102,235,184
airplane205.jpg,256,256,Airplane,1,92,85,170
airplane205.jpg,256,256,Airplane,88,82,172,164
airplane205.jpg,256,256,Airplane,144,166,210,244
airplane206.jpg,256,256,Airplane,74,89,156,170
airplane207.jpg,256,256,Airplane,37,88,161,227
airplane208.jpg,256,256,Airplane,4,123,105,234
airplane208.jpg,256,256,Airplane,127,108,224,211
airplane208.jpg,256,256,Airplane,52,1,126,88
airplane208.jpg,256,256,Airplane,126,17,196,97
airplane209.jpg,256,256,Airplane,1,114,87,224
airplane209.jpg,256,256,Airplane,88,99,162,201
airplane209.jpg,256,256,Airplane,160,79,237,191
airplane210.jpg,256,256,Airplane,3,108,88,179
airplane210.jpg,256,256,Airplane,115,112,190,194
airplane211.jpg,256,256,Airplane,82,33,243,182
airplane212.jpg,256,256,Airplane,6,74,52,130
airplane212.jpg,256,256,Airplane,63,94,150,196
airplane212.jpg,256,256,Airplane,178,75,251,152
airplane213.jpg,256,256,Airplane,104,73,221,182
airplane214.jpg,256,256,Airplane,3,72,83,153
airplane214.jpg,256,256,Airplane,67,153,195,250
airplane214.jpg,256,256,Airplane,141,34,238,140
airplane215.jpg,256,256,Airplane,38,6,166,106
